,tweet_dt,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
0,2021-08-07,1424030809149816838,moss_N00bSl4y3r,moss!!! ‎४ married era x2,nvm idc im taking a nap gn guys,0,0,0,False
1,2021-08-07,1424030808352837636,angeIore,‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ 𝓒𝐄𝐋𝐄𝐒𝐓𝐈𝐍𝐀 ♡,6. both works good ! idc idc,0,0,0,False
2,2021-08-07,1424030802761850883,wowyves,& kat (sexy),@ahyves_ pls i need it for my sanity 🙏🙏🙏 ill find pics for u to post bestie idc i just think we need to have them compiled somewhere,0,0,0,False
3,2021-08-07,1424030797217124359,dmv_ce,e,I swore off FedEx field a few years ago but I’ll end up at 1-2 games this year. However I’m bringing so much alcoho… https://t.co/rKqvfjUrKK,0,0,0,False
4,2021-08-07,1424030791848259584,idc_lmao,Shobhit | neeraj chopra stan,"@macrothreader Han ladka handsome to hai 🙄
asian games se main bhi dekh raha ise",0,0,0,False
5,2021-08-07,1424030776358752259,krokonoko,Lalo Salamander 🍑,Bill is not fictional but idc he's one of my biggest inspirations lol if I could steal his gender I would https://t.co/cM027OJbK9,0,0,0,False
6,2021-08-07,1424030763608051717,32twonine,gnonmi avec lait🇨🇮.,nah you lot are proper rude man idc,0,0,0,False
7,2021-08-07,1424030745190936577,_xxjla,Paul💋,Do what you gotta do idc anymore,0,0,0,False
8,2021-08-07,1424030724924100610,takeafgilbert,Takea,Ashanti “Foolish “ gone make me sad every time I play. Idc how happy my relationship is 🥴😂,0,0,0,False
9,2021-08-07,1424030715172241412,Spencer200003,𝙎𝙋𝙀𝙉🪴,Aslong as everyone stays fit and gets some minutes in the tank idc really https://t.co/UWmY9niUPR,1,0,0,False
10,2021-08-07,1424030701897207813,jrsjessejrs,handle7ho,Covid got me on that idc about a date let's have a virtual dinner together.,0,0,0,False
11,2021-08-07,1424030691055054848,MrThoughtless_,Big-Head ®👺,Horoscopes is witch craft idc,0,0,0,False
12,2021-08-07,1424030684440563716,shaitaee,Shai | 🌬,@HEARTSINCH4T HONESTLY SAME idc im getting both,0,0,0,False
13,2021-08-07,1424030675439554563,ariigbcputh,sam ✾,horlicks can leave idc https://t.co/F8kp6x7a83,0,0,0,False
14,2021-08-07,1424030642803597321,gotpinkvelvets,char,i reckon she’s little miss president in this queendom town idc i’m declaring it now https://t.co/gkEuExXenk,0,0,0,False
15,2021-08-07,1424030627913994244,hjsprada,ella,idc about skz anymore i want HER https://t.co/kkqVal7hVf,0,0,0,False
16,2021-08-07,1424030605767938048,fckpiecky,Piecky♪,@iammyanee idc as long as its cute and affordable😂,0,0,0,False
17,2021-08-07,1424030599669501961,_AshMilk_,A,Yeah I’m talking shit cause niggas need to learn to listen . I have not been wrong yet idc,0,0,0,False
18,2021-08-07,1424030587292114948,hes_fwn,venus!¡🇧🇷,@REBELrcarnati0n this is tyler idc idc,0,0,0,False
19,2021-08-07,1424030567109206017,ayritheboss,ayri,I GET MONEY IDC WHO FUCKIN ON MY EXS,0,0,0,False
20,2021-08-07,1424030551493672966,exoskzjune,reyna,SHOULD BE NUMBER ONE IDC IDC https://t.co/qXdHH0WhUu,0,0,0,False
21,2021-08-07,1424030535526010887,JUICYJJIN,yoongi’s niece 🐡,it didn’t deserve more than look here idc,0,0,0,False
22,2021-08-07,1424030531524702216,Joeaikoo,jo,not gon lie i got the vaccine so that we could go back to normal… i didnt care about what the scary ppl were talkin… https://t.co/jznysDHrut,0,0,0,False
