,tweet_dt,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
0,2021-08-07,1423994094905438210,AETOSWire,AETOSWire,Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to Purcha… https://t.co/oVw599uqbE,0,0,0,False
1,2021-08-07,1423917122271555588,BitcoinNewsPost,Bitcoin News Post,"Riskified, an Israeli e-commerce fraud protection company, began trading on the NYSE on #Bitcoin #News https://t.co/KHYfemKcMs #startups",1,0,0,False
2,2021-08-06,1423715548660068358,pureblackwhite,大佐,@Israel_Cyber @Riskified congrats!,0,0,0,False
3,2021-08-06,1423651334130130945,AFTAU,TelAvivUniversityUSA,"Congrats to the newest public Israeli unicorn, @Riskified and CTO/Co-founder Assaf Feldman, a @telavivuni alum!

https://t.co/CwDNad6KUn",0,0,0,False
4,2021-08-05,1423394075537969153,snake35vs,The Snake,Riskified: bull or bear ?,0,0,0,False
5,2021-08-05,1423282497597542404,RiskifiedTech,Riskified Technology,"Come &amp; join us for an in-person Riskified Technology &amp; @SuperwiseAI meetup, where we’ll hear from @melih_bhr and Li… https://t.co/ZXCpLO89MK",3,0,0,False
6,2021-08-05,1423258906978099203,BDincman,Berkem Dincman,Riskified underwriters exercise $55.1m in options: https://t.co/9ZfKs6a0ep | via @GlobesEnglish,0,0,0,False
7,2021-08-05,1423252077866668032,globesbiz,Globes Business,Riskified underwriters exercise $55.1m in options https://t.co/xRf0MMZIYo,0,0,0,False
8,2021-08-05,1423153272039297024,america_topics,America’s Hot Topics,Riskified underwriters exercise $55.1m in options https://t.co/o3sSVRTcG7,0,0,0,False
9,2021-08-05,1423151914368131076,goinhouse,GoInhouse®,"Now Hiring: Senior Counsel at Riskified (New York, NY) https://t.co/kz0EdKEhHr #inhousecounsel #inhousetwitter #corporatecounsel",0,0,0,False
10,2021-08-04,1422967709805907976,JComm_NewsFeeds,Jewish Community,Riskified underwriters exercise $55.1m in options: The Israeli e-commerce fraud protection company has now raised $… https://t.co/5ZJOibAhAT,0,0,0,False
11,2021-08-04,1422963611484495875,MiddleEastTon,Middle-East & Pakistan Times of News,Riskified underwriters exercise $55.1m in options https://t.co/WEmsGnGEPD,0,0,0,False
12,2021-08-04,1422957539147276291,GlobesEnglish,GlobesEnglish,Riskified underwriters exercise $55.1m in options – https://t.co/RiWzfs06hM,0,0,0,False
13,2021-08-04,1422920375164444681,Riskified,Riskified,Our huge billboard in one of Israel’s busiest junctions! 🤩 #RiskifiedIPO #EnablingFutureECommerce https://t.co/cFPiCkfJoy,8,0,0,False
14,2021-08-04,1422877178950160386,BahrainNewsNet,Bahrain News,"Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the ...
https://t.co/5lbwWtMkT6",0,0,0,False
15,2021-08-04,1422829794220204034,EINIPONews,EIN Presswire: IPO Newswire,Riskified Ltd․ Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to Purcha… https://t.co/S71SlswEe3,0,0,0,False
16,2021-08-04,1422797620762877954,prfeedin,Press Release India,Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to Purcha… https://t.co/4ynMUemnwm,0,0,0,False
17,2021-08-04,1422796000482242564,newsfilterio,Investor News,Riskified Announces Closing of Initial Public Offering and Full Exercise of the Underwriters' Option to Purchase Ad… https://t.co/tr5eD7rysK,0,0,0,False
18,2021-08-04,1422795210833100800,koreanewswire,뉴스와이어,Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to Purcha… https://t.co/h0K1gqYxys,0,0,0,False
19,2021-08-04,1422792891517202444,Ghaziabad365,Ghaziabad 365,Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to Purcha… https://t.co/0PRW8nOPyX,1,0,0,False
20,2021-08-04,1422785312053469185,MagentaTBN,Magenta Media,Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to Purcha… https://t.co/w0JSd6raW7,0,0,0,False
21,2021-08-04,1422765841955835905,ExBulletinUk,ExBulletin,Riskified Ltd. announces the closing of the initial public offering and the full exercise of the underwriters’ opti… https://t.co/WQxYQtkxv4,0,0,0,False
22,2021-08-04,1422734038247165954,AntaraEnglish,Antara English News,Riskified Ltd. announces closing of initial public offering and full exercise of the underwriters’ option to purcha… https://t.co/NfKJaURlNG,0,0,0,False
23,2021-08-03,1422652525875011584,StockNewsBot2,Stock News Bot,$RSKD Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to… https://t.co/1NS8BOyx4g,0,0,0,False
24,2021-08-03,1422652087331016704,NewsFromBW,Latest News from Business Wire,Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to Purcha… https://t.co/WqjKhbK6Xe,0,0,0,False
25,2021-08-03,1422652083761815558,stock_titan,Stock Titan,$RSKD Riskified Ltd. Announces Closing of Initial Public Offering and Full Exercise of the Underwriters’ Option to… https://t.co/KjuNEZm3mc,0,0,0,False
26,2021-08-03,1422542216216682503,ronakmgani7,Ronak Meghani,Ecommerce Fraud Prevention Firm Riskified Goes Public https://t.co/GROfcCZ59n https://t.co/m5rirEjfu8,0,0,0,False
27,2021-08-03,1422515618079821825,kiwiIDgal,Diane Joyce,The Dark Side of PSD2: Fraudsters’ reaction to the EU regulation - Discover insights from the dark side of the eco.… https://t.co/k2cuY9wyF6,0,0,0,False
28,2021-08-03,1422468781025210385,mktgenvy,Marketing Envy,Congratulation to our client @Riskified who made their debut on the New York Stock Exchange today!… https://t.co/APT7rs6P6R,0,0,0,False
29,2021-08-03,1422383438544269319,israeltradejp,イスラエル大使館 経済部,Riskified begins trading on NYSE at $3.3b valuation: https://t.co/ksEN74EOn8 | via @GlobesEnglish,0,0,2,False
30,2021-08-03,1422358382032326658,NYSE,NYSE 🏛,Behind the scenes of the @Riskified IPO (NYSE: $RSKD) 🎥 #RiskifiedIPO https://t.co/IABWvuACz8,19,0,6,False
31,2021-08-02,1422192351951327238,CardNotPresent,Card Not Present®,"Riskified Goes Public, Prices IPO at $21 per Share https://t.co/l3MveIUk7z #ecommerce #fraudprevention #cnpfraud… https://t.co/PVgQ4OOwnX",0,0,0,False
32,2021-08-02,1422178487381729286,SantosSn27,Santos27,@Riskified Congrats,0,0,0,False
33,2021-08-02,1422177199407386626,myTFactor,TFACTOR,We have been working with @Riskified  for many years and have had the privilege to witness their amazing growth ove… https://t.co/Du3pXzw0fp,2,0,1,False
34,2021-08-02,1422173838729748480,CardNotPresent,Card Not Present®,"Riskified Goes Public, Prices IPO at $21 per Share https://t.co/KSKqYho9QG @riskified #antifraud… https://t.co/tKcf16pJG3",0,0,0,False
35,2021-08-02,1422164366565150722,Made_a_Line,Madeleine,"Read @InMattPR Monthly #Newsletter!
In this issue, we highlight the recent #communication successes with our client… https://t.co/tnG4EGBuFW",5,0,0,False
36,2021-08-02,1422100443887554561,cyberbuzznews,CybersecurityNews,eCommerce Fraud Prevention Firm Riskified Prices IPO at $21 Per Share https://t.co/l3dnT23cf9,0,0,0,False
37,2021-08-02,1422037776921468928,GaryMarteney,gary marteney,@MariaBartiromo @FoxBusiness @MorningsMaria @Riskified Nothing new here. Expected,1,0,0,False
38,2021-08-02,1422014419798724612,KrASIAofficial,KrASIA,"Israeli cybersecurity startup @Riskified completed an IPO on the New York Stock Exchange, pushing the fraud prevent… https://t.co/O2PUWzbHJt",1,0,0,False
39,2021-08-01,1421896644673507328,privilegedusers,Privileged Users,eCommerce Fraud Prevention Firm Riskified Prices IPO at $21 Per Share https://t.co/8MdQ964fkz,0,0,0,False
40,2021-08-01,1421885699343720449,StckPro,STCK.PRO,$RSKD NEW ARTICLE : Riskified: Derisking Ecommerce https://t.co/i448Teao4X Get all the latest $RSKD related news he… https://t.co/2C0xKd6NtS,0,0,0,False
41,2021-08-01,1421853968347639811,wilsonkriegel,wilson k,Israeli e-commerce fraud protection platform company Riskified begins trading on NYSE - Raising $363million at valuation of $3.3 billion,2,0,1,False
42,2021-08-01,1421816994626605064,misc_COG_victim,misc_COG_victim,"@Riskified C,D,F,I,M,N key",0,0,0,False
43,2021-08-01,1421793534018002944,Israel_Cyber,Cyber Israel,Israeli e-commerce fraud protection platform company @Riskified begins trading #NYSE at a company valuation of $3.3… https://t.co/FJ6kLWxatG,5,0,10,False
44,2021-07-31,1421608251406225412,ianbrowncc,Ian Brown,"Riskified, an Israeli e-commerce fraud protection company, began trading on the NYSE on Thursday after raising $363… https://t.co/0vLXkzxDB8",0,0,0,False
45,2021-07-31,1421570507749478400,KYTechnado,KY Technado,"Riskified, an Israeli e-commerce fraud protection company, began trading on the NYSE on Thursday after raising $363… https://t.co/CvwwbgJr7h",0,0,0,False
46,2021-07-31,1421559769601478657,BowTiedRobin,BowTiedRobin | Child Prodigy,@BowTiedTitan @BowTied_Bengal Would recommend reading the Duolingo and Riskified prospectuses.,1,0,0,False
47,2021-07-31,1421541513356582915,mukund,Mukund Mohan,This thread can be read here: https://t.co/H42M9N2f1S,4,0,0,False
48,2021-07-31,1421541468225871874,mukund,Mukund Mohan,"$RSKD In the second quarter of 2021, Riskified expects revenue of $54.8-$55.7 million, up 46% from the correspondin… https://t.co/5T3ZH2AM98",1,0,0,False
49,2021-07-31,1421541467382861836,mukund,Mukund Mohan,$RSKD core product is Chargeback Guarantee which automatically approves or blocks online transactions. Riskified's… https://t.co/N1ShctCBt9,2,0,0,False
50,2021-07-31,1421541466220945408,mukund,Mukund Mohan,$RSKD Riskified was founded in 2012 by Eido Gal (CEO and Assaf Feldman (CTO). It has raised over $70 M from General… https://t.co/lmmhTbGUo6,2,0,0,False
51,2021-07-31,1421541462534152193,mukund,Mukund Mohan,"$RSKD Riskified, a software and services company focusing on payments industry, helping eCommerce vendors reduce fr… https://t.co/uPJctewOGP",2,0,0,False
52,2021-07-31,1421541457584865281,mukund,Mukund Mohan,"New IPO Riskified $RSKD $3.3B Market Cap, $200M Rev, growing at 45% YoY

A thread ⬇️ https://t.co/H42M9N2f1S",14,0,2,False
53,2021-07-31,1421541445400412165,akhilamaurya,Akhila Maurya,This thread can be read here: https://t.co/iUbSUoh41K,0,0,0,False
54,2021-07-31,1421541399036563459,akhilamaurya,Akhila Maurya,"$RSKD In the second quarter of 2021, Riskified expects revenue of $54.8-$55.7 million, up 46% from the correspondin… https://t.co/bO4eHjLfj4",0,0,0,False
55,2021-07-31,1421541398180941828,akhilamaurya,Akhila Maurya,$RSKD core product is Chargeback Guarantee which automatically approves or blocks online transactions. Riskified's… https://t.co/NZg4jxpNS1,0,0,0,False
56,2021-07-31,1421541397094703106,akhilamaurya,Akhila Maurya,$RSKD Riskified was founded in 2012 by Eido Gal (CEO and Assaf Feldman (CTO). It has raised over $70 M from General… https://t.co/A4MirZ9ET2,0,0,0,False
57,2021-07-31,1421541392925474822,akhilamaurya,Akhila Maurya,"$RSKD Riskified, a software and services company focusing on payments industry, helping eCommerce vendors reduce fr… https://t.co/k584ZL9d2d",0,0,0,False
58,2021-07-31,1421541388110503944,akhilamaurya,Akhila Maurya,"New IPO Riskified $RSKD $3.3B Market Cap, $200M Rev, growing at 45% YoY

A thread ⬇️ https://t.co/iUbSUoh41K",0,0,0,False
59,2021-07-31,1421541370414706696,MarcHoustonVC,Marc Houston,This thread can be read here: https://t.co/MSaCdt3DeE,0,0,0,False
60,2021-07-31,1421541324021538820,MarcHoustonVC,Marc Houston,"$RSKD In the second quarter of 2021, Riskified expects revenue of $54.8-$55.7 million, up 46% from the correspondin… https://t.co/6BzCHhcQjm",0,0,0,False
61,2021-07-31,1421541323211935749,MarcHoustonVC,Marc Houston,$RSKD core product is Chargeback Guarantee which automatically approves or blocks online transactions. Riskified's… https://t.co/9vzvnioxw6,0,0,0,False
