,tweet_dt,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
0,2021-08-13,1426168668136869892,d3dhemmer,Hans-Peter Hemmer,Worte sind wie Schall und Rauch. Please have a look!,0,0,0,False
1,2021-08-13,1426168637988220934,guillau40993237,guillaume,"Hello Elon, I'm a young male who couldn't see what you are trying to achieve.

I see that you have more p…",0,0,0,False
2,2021-08-13,1426168615137652737,mikepiko,Mike Pikowski,Electric ? I´m Shocked ! I always thought you were a Diesel guy who builds Electric Car Plants for Million Dollars…,0,0,0,False
3,2021-08-13,1426168600579170307,TamaraAlexis,Tamara Alexis Mrs. Putin,⁦  who is following Elon’s musk from Canada’s Tepic moon based infectious laughter clown computing E…,0,0,0,False
4,2021-08-13,1426168572812959747,joe_lipowski,Joe Lipowski,"Without question, cycling is significantly kinder to the environment than any form o…",0,0,0,False
5,2021-08-13,1426168542945292289,orthereaboot,luis carruthers,Imagine paying $117k for this car &amp; having none of the issues addressed.  Welcome to the $TSLA Model X experience.…,2,0,1,False
6,2021-08-13,1426168521424261120,newsfilterio,Investor News,Musk Says Tesla’s Delayed Gigafactory Should Open in October. The Shares Are Up. $TSLA $TWTR,0,0,0,False
7,2021-08-13,1426168487542730756,dato_kipiani,dato kipiani,#ElonMusk When will Tesla start selling cars on the Dodge?,0,0,0,False
8,2021-08-13,1426168462498570241,YoungCosmonaut,young cosmonaut,I just became an even bigger Tesla fan boy,0,0,0,False
9,2021-08-13,1426168451287166980,alexandrejaquet,*Alexandre-Ludovic*,Not sure he is rigth.,0,0,0,False
10,2021-08-13,1426168389991604228,djt_q17,Eagle 17 🦅,PAT369 on the ground at DFW - Tesla numbers?,0,0,0,False
11,2021-08-13,1426168352486174729,MvdfAverdieck,Martin Averdieck,Building a tesla tower?or keep using wef nwo technologie,0,0,0,False
12,2021-08-13,1426168350594551829,Doctor_of_Music,Mike Coe,You haven't answered my question - are y…,0,0,0,False
13,2021-08-13,1426168349772423168,hyper_drive,Bloomberg Hyperdrive,Merkel’s would-be successor is trying to burnish his credentials by meeting Elon Musk and visiting Tesla's new fact…,0,0,0,False
14,2021-08-13,1426168327211298819,mrlongisland,Mr. Long Island,"Make it a complete set...Tesla panels, PowerWall and EV charger! Call me: 631-260-7598.",0,0,0,False
15,2021-08-13,1426168302452183045,hatepicksfan24,hatepicks,follow carlos on tesla social,0,0,0,False
16,2021-08-13,1426168291605848067,MyTsla,Luv my TSLA,"If you're saying his influence helps Tesla raise cash, he'd still…",1,0,0,False
17,2021-08-13,1426168211716849678,Lunnaris01,Lunnaris01,Tesla has some of the most advanced software for emergency breaking to protect pedes…,0,0,0,False
18,2021-08-13,1426168206171983875,whitewolf359,🅰🅶🅴🅽🆃 🅹 #CoulsonLives,If the car companies want that route they ca…,0,0,0,False
19,2021-08-13,1426168203865112576,Silky1776,Matt Silcox,"Wrong on Tesla, but not wrong that Musk makes claims and predictions about Tesla that…",0,0,0,False
20,2021-08-13,1426168190183350274,JonBryant421,Jon Bryant,"Still, seems dumb. I am generally favorable to MW but this is missing the point entirely. Some have go…",0,0,0,False
21,2021-08-13,1426168184009154562,fauxniuz,Mauren,If you support tesla you aint a patriot. I dont make the rules,0,0,0,False
22,2021-08-13,1426168148361977858,thomasbihn,Thomas Bihn,But they like to also cite the chip shortage limiting Tesla production as a huge negative like it is…,0,0,0,False
